,file_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class_index,class_name,file_path
64,00065.jpg,63,175,417,320,8,Aston Martin V8 Vantage Convertible 2012,data\stanford_cars\train\Aston Martin V8 Vantage Convertible 2012\00065.jpg
65,00066.jpg,30,39,221,125,17,Audi 100 Sedan 1994,data\stanford_cars\train\Audi 100 Sedan 1994\00066.jpg
66,00067.jpg,129,89,594,432,111,Ford Ranger SuperCab 2011,data\stanford_cars\train\Ford Ranger SuperCab 2011\00067.jpg
67,00068.jpg,32,43,598,350,122,GMC Canyon Extended Cab 2012,data\stanford_cars\train\GMC Canyon Extended Cab 2012\00068.jpg
68,00069.jpg,142,124,675,445,5,Acura TSX Sedan 2012,data\stanford_cars\train\Acura TSX Sedan 2012\00069.jpg
69,00070.jpg,220,313,1054,976,29,BMW 3 Series Sedan 2012,data\stanford_cars\train\BMW 3 Series Sedan 2012\00070.jpg
70,00071.jpg,8,12,639,299,126,Honda Odyssey Minivan 2012,data\stanford_cars\train\Honda Odyssey Minivan 2012\00071.jpg
71,00072.jpg,92,271,1178,749,94,Dodge Durango SUV 2012,data\stanford_cars\train\Dodge Durango SUV 2012\00072.jpg
72,00073.jpg,15,12,314,230,106,Ford F-450 Super Duty Crew Cab 2012,data\stanford_cars\train\Ford F-450 Super Duty Crew Cab 2012\00073.jpg
73,00074.jpg,14,12,309,223,106,Ford F-450 Super Duty Crew Cab 2012,data\stanford_cars\train\Ford F-450 Super Duty Crew Cab 2012\00074.jpg
74,00075.jpg,45,74,522,253,188,Toyota Corolla Sedan 2012,data\stanford_cars\train\Toyota Corolla Sedan 2012\00075.jpg
75,00076.jpg,12,27,284,166,59,Chevrolet Camaro Convertible 2012,data\stanford_cars\train\Chevrolet Camaro Convertible 2012\00076.jpg
76,00077.jpg,25,25,3502,2017,110,Ford Edge SUV 2012,data\stanford_cars\train\Ford Edge SUV 2012\00077.jpg
77,00078.jpg,36,88,611,417,43,Bentley Continental GT Coupe 2007,data\stanford_cars\train\Bentley Continental GT Coupe 2007\00078.jpg
78,00079.jpg,165,126,749,425,133,Hyundai Veracruz SUV 2012,data\stanford_cars\train\Hyundai Veracruz SUV 2012\00079.jpg
79,00080.jpg,20,21,292,217,111,Ford Ranger SuperCab 2011,data\stanford_cars\train\Ford Ranger SuperCab 2011\00080.jpg
80,00081.jpg,10,55,540,271,8,Aston Martin V8 Vantage Convertible 2012,data\stanford_cars\train\Aston Martin V8 Vantage Convertible 2012\00081.jpg
81,00082.jpg,63,113,597,413,192,Volkswagen Beetle Hatchback 2012,data\stanford_cars\train\Volkswagen Beetle Hatchback 2012\00082.jpg
82,00083.jpg,55,48,294,205,18,Audi 100 Wagon 1994,data\stanford_cars\train\Audi 100 Wagon 1994\00083.jpg
83,00084.jpg,27,67,620,474,116,Ford E-Series Wagon Van 2012,data\stanford_cars\train\Ford E-Series Wagon Van 2012\00084.jpg
84,00085.jpg,15,80,629,402,49,Buick Verano Sedan 2012,data\stanford_cars\train\Buick Verano Sedan 2012\00085.jpg
85,00086.jpg,119,300,1416,871,145,Jeep Patriot SUV 2012,data\stanford_cars\train\Jeep Patriot SUV 2012\00086.jpg
86,00087.jpg,17,36,455,215,49,Buick Verano Sedan 2012,data\stanford_cars\train\Buick Verano Sedan 2012\00087.jpg
87,00088.jpg,171,176,2373,1751,170,Nissan Juke Hatchback 2012,data\stanford_cars\train\Nissan Juke Hatchback 2012\00088.jpg
88,00089.jpg,49,195,1003,617,20,Audi S6 Sedan 2011,data\stanford_cars\train\Audi S6 Sedan 2011\00089.jpg
89,00090.jpg,5,43,296,211,114,Ford F-150 Regular Cab 2007,data\stanford_cars\train\Ford F-150 Regular Cab 2007\00090.jpg
90,00091.jpg,49,57,494,419,165,Mercedes-Benz S-Class Sedan 2012,data\stanford_cars\train\Mercedes-Benz S-Class Sedan 2012\00091.jpg
91,00092.jpg,101,84,492,272,138,Hyundai Sonata Sedan 2012,data\stanford_cars\train\Hyundai Sonata Sedan 2012\00092.jpg
92,00093.jpg,23,53,258,144,175,Rolls-Royce Phantom Drophead Coupe Convertible 2012,data\stanford_cars\train\Rolls-Royce Phantom Drophead Coupe Convertible 2012\00093.jpg
93,00094.jpg,19,60,783,440,112,Ford GT Coupe 2006,data\stanford_cars\train\Ford GT Coupe 2006\00094.jpg
94,00095.jpg,110,171,1213,648,122,GMC Canyon Extended Cab 2012,data\stanford_cars\train\GMC Canyon Extended Cab 2012\00095.jpg
95,00096.jpg,39,67,346,206,104,Ferrari 458 Italia Coupe 2012,data\stanford_cars\train\Ferrari 458 Italia Coupe 2012\00096.jpg
96,00097.jpg,3,7,76,50,57,Chevrolet Corvette Ron Fellows Edition Z06 2007,data\stanford_cars\train\Chevrolet Corvette Ron Fellows Edition Z06 2007\00097.jpg
97,00098.jpg,65,37,578,360,51,Cadillac CTS-V Sedan 2012,data\stanford_cars\train\Cadillac CTS-V Sedan 2012\00098.jpg
98,00099.jpg,27,60,486,364,37,BMW X3 SUV 2012,data\stanford_cars\train\BMW X3 SUV 2012\00099.jpg
99,00100.jpg,22,180,454,355,71,Chevrolet Express Van 2007,data\stanford_cars\train\Chevrolet Express Van 2007\00100.jpg
100,00101.jpg,70,39,940,742,193,Volvo C30 Hatchback 2012,data\stanford_cars\train\Volvo C30 Hatchback 2012\00101.jpg
101,00102.jpg,99,130,396,222,105,Fisker Karma Sedan 2012,data\stanford_cars\train\Fisker Karma Sedan 2012\00102.jpg
102,00103.jpg,85,107,609,381,61,Chevrolet Impala Sedan 2007,data\stanford_cars\train\Chevrolet Impala Sedan 2007\00103.jpg
103,00104.jpg,1,76,480,315,74,Chevrolet Silverado 1500 Extended Cab 2012,data\stanford_cars\train\Chevrolet Silverado 1500 Extended Cab 2012\00104.jpg
104,00105.jpg,57,266,967,623,133,Hyundai Veracruz SUV 2012,data\stanford_cars\train\Hyundai Veracruz SUV 2012\00105.jpg
105,00106.jpg,69,75,236,161,162,Mercedes-Benz C-Class Sedan 2012,data\stanford_cars\train\Mercedes-Benz C-Class Sedan 2012\00106.jpg
106,00107.jpg,24,17,249,163,131,Hyundai Santa Fe SUV 2012,data\stanford_cars\train\Hyundai Santa Fe SUV 2012\00107.jpg
107,00108.jpg,7,27,212,147,88,Dodge Sprinter Cargo Van 2009,data\stanford_cars\train\Dodge Sprinter Cargo Van 2009\00108.jpg
108,00109.jpg,18,14,248,168,121,GMC Acadia SUV 2012,data\stanford_cars\train\GMC Acadia SUV 2012\00109.jpg
109,00110.jpg,19,2,591,387,180,Spyker C8 Coupe 2009,data\stanford_cars\train\Spyker C8 Coupe 2009\00110.jpg
110,00111.jpg,52,6,759,513,180,Spyker C8 Coupe 2009,data\stanford_cars\train\Spyker C8 Coupe 2009\00111.jpg
111,00112.jpg,231,103,430,226,137,Hyundai Genesis Sedan 2012,data\stanford_cars\train\Hyundai Genesis Sedan 2012\00112.jpg
112,00113.jpg,91,148,700,582,133,Hyundai Veracruz SUV 2012,data\stanford_cars\train\Hyundai Veracruz SUV 2012\00113.jpg
113,00114.jpg,19,72,624,397,71,Chevrolet Express Van 2007,data\stanford_cars\train\Chevrolet Express Van 2007\00114.jpg
114,00115.jpg,26,90,376,243,83,Dodge Caliber Wagon 2012,data\stanford_cars\train\Dodge Caliber Wagon 2012\00115.jpg
115,00116.jpg,132,120,667,401,110,Ford Edge SUV 2012,data\stanford_cars\train\Ford Edge SUV 2012\00116.jpg
116,00117.jpg,84,44,663,342,42,Bentley Continental GT Coupe 2012,data\stanford_cars\train\Bentley Continental GT Coupe 2012\00117.jpg
117,00118.jpg,87,235,591,412,177,Rolls-Royce Phantom Sedan 2012,data\stanford_cars\train\Rolls-Royce Phantom Sedan 2012\00118.jpg
118,00119.jpg,173,370,1207,960,147,Jeep Liberty SUV 2012,data\stanford_cars\train\Jeep Liberty SUV 2012\00119.jpg
119,00120.jpg,3,19,195,114,161,Mercedes-Benz 300-Class Convertible 1993,data\stanford_cars\train\Mercedes-Benz 300-Class Convertible 1993\00120.jpg
120,00121.jpg,49,143,487,455,109,Ford Expedition EL SUV 2009,data\stanford_cars\train\Ford Expedition EL SUV 2009\00121.jpg
121,00122.jpg,72,67,233,176,28,BMW 1 Series Coupe 2012,data\stanford_cars\train\BMW 1 Series Coupe 2012\00122.jpg
122,00123.jpg,151,568,1954,1271,144,Jaguar XK XKR 2012,data\stanford_cars\train\Jaguar XK XKR 2012\00123.jpg
123,00124.jpg,14,88,271,178,53,Cadillac Escalade EXT Crew Cab 2007,data\stanford_cars\train\Cadillac Escalade EXT Crew Cab 2007\00124.jpg
124,00125.jpg,135,761,1894,1353,29,BMW 3 Series Sedan 2012,data\stanford_cars\train\BMW 3 Series Sedan 2012\00125.jpg
125,00126.jpg,44,123,778,487,66,Chevrolet Cobalt SS 2010,data\stanford_cars\train\Chevrolet Cobalt SS 2010\00126.jpg
126,00127.jpg,69,103,537,322,79,Chrysler 300 SRT-8 2010,data\stanford_cars\train\Chrysler 300 SRT-8 2010\00127.jpg
127,00128.jpg,86,78,355,284,13,Audi A5 Coupe 2012,data\stanford_cars\train\Audi A5 Coupe 2012\00128.jpg
128,00129.jpg,50,80,592,273,136,Hyundai Accent Sedan 2012,data\stanford_cars\train\Hyundai Accent Sedan 2012\00129.jpg
129,00130.jpg,95,161,543,368,143,Isuzu Ascender SUV 2008,data\stanford_cars\train\Isuzu Ascender SUV 2008\00130.jpg
130,00131.jpg,275,195,863,474,171,Nissan 240SX Coupe 1998,data\stanford_cars\train\Nissan 240SX Coupe 1998\00131.jpg
131,00132.jpg,99,78,557,389,89,Dodge Journey SUV 2012,data\stanford_cars\train\Dodge Journey SUV 2012\00132.jpg
132,00133.jpg,11,126,426,360,135,Hyundai Elantra Sedan 2007,data\stanford_cars\train\Hyundai Elantra Sedan 2007\00133.jpg
133,00134.jpg,1,2,267,185,161,Mercedes-Benz 300-Class Convertible 1993,data\stanford_cars\train\Mercedes-Benz 300-Class Convertible 1993\00134.jpg
134,00135.jpg,19,735,2669,2192,58,Chevrolet Traverse SUV 2012,data\stanford_cars\train\Chevrolet Traverse SUV 2012\00135.jpg
135,00136.jpg,21,35,279,195,122,GMC Canyon Extended Cab 2012,data\stanford_cars\train\GMC Canyon Extended Cab 2012\00136.jpg
136,00137.jpg,45,99,593,403,178,Scion xD Hatchback 2012,data\stanford_cars\train\Scion xD Hatchback 2012\00137.jpg
137,00138.jpg,130,282,1425,900,56,Chevrolet Corvette ZR1 2012,data\stanford_cars\train\Chevrolet Corvette ZR1 2012\00138.jpg
138,00139.jpg,72,215,628,481,184,Suzuki SX4 Sedan 2012,data\stanford_cars\train\Suzuki SX4 Sedan 2012\00139.jpg
139,00140.jpg,62,95,633,434,191,Volkswagen Golf Hatchback 1991,data\stanford_cars\train\Volkswagen Golf Hatchback 1991\00140.jpg
140,00141.jpg,13,106,476,260,40,Bentley Arnage Sedan 2009,data\stanford_cars\train\Bentley Arnage Sedan 2009\00141.jpg
141,00142.jpg,78,300,952,633,60,Chevrolet HHR SS 2010,data\stanford_cars\train\Chevrolet HHR SS 2010\00142.jpg
142,00143.jpg,72,51,566,412,155,Land Rover LR2 SUV 2012,data\stanford_cars\train\Land Rover LR2 SUV 2012\00143.jpg
143,00144.jpg,66,59,283,202,71,Chevrolet Express Van 2007,data\stanford_cars\train\Chevrolet Express Van 2007\00144.jpg
144,00145.jpg,135,36,1181,885,140,Hyundai Azera Sedan 2012,data\stanford_cars\train\Hyundai Azera Sedan 2012\00145.jpg
145,00146.jpg,2,5,298,162,42,Bentley Continental GT Coupe 2012,data\stanford_cars\train\Bentley Continental GT Coupe 2012\00146.jpg
146,00147.jpg,8,12,770,309,76,Chrysler Aspen SUV 2009,data\stanford_cars\train\Chrysler Aspen SUV 2009\00147.jpg
147,00148.jpg,24,78,608,379,187,Toyota Camry Sedan 2012,data\stanford_cars\train\Toyota Camry Sedan 2012\00148.jpg
148,00149.jpg,34,1,242,179,86,Dodge Ram Pickup 3500 Crew Cab 2010,data\stanford_cars\train\Dodge Ram Pickup 3500 Crew Cab 2010\00149.jpg
149,00150.jpg,11,208,596,386,8,Aston Martin V8 Vantage Convertible 2012,data\stanford_cars\train\Aston Martin V8 Vantage Convertible 2012\00150.jpg
150,00151.jpg,8,37,294,150,5,Acura TSX Sedan 2012,data\stanford_cars\train\Acura TSX Sedan 2012\00151.jpg
151,00152.jpg,23,66,499,311,47,Buick Regal GS 2012,data\stanford_cars\train\Buick Regal GS 2012\00152.jpg
152,00153.jpg,6,138,627,361,30,BMW 3 Series Wagon 2012,data\stanford_cars\train\BMW 3 Series Wagon 2012\00153.jpg
153,00154.jpg,17,105,385,243,18,Audi 100 Wagon 1994,data\stanford_cars\train\Audi 100 Wagon 1994\00154.jpg
154,00155.jpg,76,4,1585,1120,149,Jeep Compass SUV 2012,data\stanford_cars\train\Jeep Compass SUV 2012\00155.jpg
155,00156.jpg,22,21,211,139,174,Ram C/V Cargo Van Minivan 2012,data\stanford_cars\train\Ram C/V Cargo Van Minivan 2012\00156.jpg
156,00157.jpg,32,130,973,661,138,Hyundai Sonata Sedan 2012,data\stanford_cars\train\Hyundai Sonata Sedan 2012\00157.jpg
157,00158.jpg,75,236,1196,846,179,Spyker C8 Convertible 2009,data\stanford_cars\train\Spyker C8 Convertible 2009\00158.jpg
158,00159.jpg,37,139,988,694,24,Audi S4 Sedan 2007,data\stanford_cars\train\Audi S4 Sedan 2007\00159.jpg
159,00160.jpg,114,46,546,287,42,Bentley Continental GT Coupe 2012,data\stanford_cars\train\Bentley Continental GT Coupe 2012\00160.jpg
160,00161.jpg,12,83,629,354,73,Chevrolet Malibu Sedan 2007,data\stanford_cars\train\Chevrolet Malibu Sedan 2007\00161.jpg
161,00162.jpg,38,66,548,385,176,Rolls-Royce Ghost Sedan 2012,data\stanford_cars\train\Rolls-Royce Ghost Sedan 2012\00162.jpg
162,00163.jpg,46,84,661,428,1,AM General Hummer SUV 2000,data\stanford_cars\train\AM General Hummer SUV 2000\00163.jpg
163,00164.jpg,13,29,239,174,37,BMW X3 SUV 2012,data\stanford_cars\train\BMW X3 SUV 2012\00164.jpg
164,00165.jpg,27,65,490,220,36,BMW M6 Convertible 2010,data\stanford_cars\train\BMW M6 Convertible 2010\00165.jpg
165,00166.jpg,4,69,402,245,108,Ford Freestar Minivan 2007,data\stanford_cars\train\Ford Freestar Minivan 2007\00166.jpg
166,00167.jpg,19,27,429,258,41,Bentley Mulsanne Sedan 2011,data\stanford_cars\train\Bentley Mulsanne Sedan 2011\00167.jpg
167,00168.jpg,110,96,565,389,40,Bentley Arnage Sedan 2009,data\stanford_cars\train\Bentley Arnage Sedan 2009\00168.jpg
168,00169.jpg,2,22,140,81,119,GMC Savana Van 2012,data\stanford_cars\train\GMC Savana Van 2012\00169.jpg
169,00170.jpg,48,71,615,453,119,GMC Savana Van 2012,data\stanford_cars\train\GMC Savana Van 2012\00170.jpg
170,00171.jpg,41,42,262,170,19,Audi TT Hatchback 2011,data\stanford_cars\train\Audi TT Hatchback 2011\00171.jpg
171,00172.jpg,6,108,493,267,163,Mercedes-Benz SL-Class Coupe 2009,data\stanford_cars\train\Mercedes-Benz SL-Class Coupe 2009\00172.jpg
172,00173.jpg,26,61,508,342,120,GMC Yukon Hybrid SUV 2012,data\stanford_cars\train\GMC Yukon Hybrid SUV 2012\00173.jpg
173,00174.jpg,13,29,249,159,54,Chevrolet Silverado 1500 Hybrid Crew Cab 2012,data\stanford_cars\train\Chevrolet Silverado 1500 Hybrid Crew Cab 2012\00174.jpg
174,00175.jpg,69,120,739,502,116,Ford E-Series Wagon Van 2012,data\stanford_cars\train\Ford E-Series Wagon Van 2012\00175.jpg
175,00176.jpg,45,85,1005,558,66,Chevrolet Cobalt SS 2010,data\stanford_cars\train\Chevrolet Cobalt SS 2010\00176.jpg
176,00177.jpg,98,22,650,302,50,Buick Enclave SUV 2012,data\stanford_cars\train\Buick Enclave SUV 2012\00177.jpg
177,00178.jpg,5,28,285,148,122,GMC Canyon Extended Cab 2012,data\stanford_cars\train\GMC Canyon Extended Cab 2012\00178.jpg
178,00179.jpg,42,113,601,439,155,Land Rover LR2 SUV 2012,data\stanford_cars\train\Land Rover LR2 SUV 2012\00179.jpg
179,00180.jpg,3,40,297,157,142,Infiniti QX56 SUV 2011,data\stanford_cars\train\Infiniti QX56 SUV 2011\00180.jpg
180,00181.jpg,84,256,913,752,68,Chevrolet TrailBlazer SS 2009,data\stanford_cars\train\Chevrolet TrailBlazer SS 2009\00181.jpg
181,00182.jpg,43,226,1001,630,170,Nissan Juke Hatchback 2012,data\stanford_cars\train\Nissan Juke Hatchback 2012\00182.jpg
182,00183.jpg,2,9,196,125,161,Mercedes-Benz 300-Class Convertible 1993,data\stanford_cars\train\Mercedes-Benz 300-Class Convertible 1993\00183.jpg
183,00184.jpg,34,51,604,344,161,Mercedes-Benz 300-Class Convertible 1993,data\stanford_cars\train\Mercedes-Benz 300-Class Convertible 1993\00184.jpg
184,00185.jpg,24,35,620,438,133,Hyundai Veracruz SUV 2012,data\stanford_cars\train\Hyundai Veracruz SUV 2012\00185.jpg
185,00186.jpg,6,72,255,178,125,HUMMER H2 SUT Crew Cab 2009,data\stanford_cars\train\HUMMER H2 SUT Crew Cab 2009\00186.jpg
186,00187.jpg,4,408,1600,934,160,McLaren MP4-12C Coupe 2012,data\stanford_cars\train\McLaren MP4-12C Coupe 2012\00187.jpg
187,00188.jpg,25,162,1241,764,93,Dodge Challenger SRT8 2011,data\stanford_cars\train\Dodge Challenger SRT8 2011\00188.jpg
188,00189.jpg,18,15,583,421,183,Suzuki SX4 Hatchback 2012,data\stanford_cars\train\Suzuki SX4 Hatchback 2012\00189.jpg
189,00190.jpg,198,416,1271,935,45,Bugatti Veyron 16.4 Convertible 2009,data\stanford_cars\train\Bugatti Veyron 16.4 Convertible 2009\00190.jpg
190,00191.jpg,129,75,654,422,143,Isuzu Ascender SUV 2008,data\stanford_cars\train\Isuzu Ascender SUV 2008\00191.jpg
191,00192.jpg,37,24,259,212,189,Toyota 4Runner SUV 2012,data\stanford_cars\train\Toyota 4Runner SUV 2012\00192.jpg
192,00193.jpg,82,107,990,723,48,Buick Rainier SUV 2007,data\stanford_cars\train\Buick Rainier SUV 2007\00193.jpg
193,00194.jpg,187,327,1211,769,176,Rolls-Royce Ghost Sedan 2012,data\stanford_cars\train\Rolls-Royce Ghost Sedan 2012\00194.jpg
194,00195.jpg,150,339,1313,771,77,Chrysler Sebring Convertible 2010,data\stanford_cars\train\Chrysler Sebring Convertible 2010\00195.jpg
